val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,Sample,Accuracy
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.0849609375,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.2197265625,0.2548828125,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.2197265625,0.0966796875,0.1611328125,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.2197265625,0.0966796875,0.5185546875,0.3837890625,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.1435546875,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.6666666666666666
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.3701171875,0.0458984375,0.8994140625,0.5009765625,0.0693359375,600,0.675
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.7197265625,0.8994140625,0.5009765625,0.0693359375,600,0.6583333333333333
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.3447265625,0.5009765625,0.0693359375,600,0.675
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.9912109375,0.0693359375,600,0.6666666666666666
0.2197265625,0.0966796875,0.5185546875,0.6767578125,0.2802734375,0.9072265625,0.0458984375,0.8994140625,0.5009765625,0.7255859375,600,0.6666666666666666
0.0849609375,0.2548828125,0.1611328125,0.3837890625,0.1435546875,0.3701171875,0.7197265625,0.3447265625,0.9912109375,0.7255859375,600,0.675
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.5849609375,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.7197265625,0.7548828125,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.7197265625,0.5966796875,0.6611328125,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.6666666666666666
0.7197265625,0.5966796875,0.0185546875,0.8837890625,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.6435546875,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.8701171875,0.5458984375,0.3994140625,0.0009765625,0.5693359375,600,0.6666666666666666
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.2197265625,0.3994140625,0.0009765625,0.5693359375,600,0.675
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.8447265625,0.0009765625,0.5693359375,600,0.6666666666666666
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.4912109375,0.5693359375,600,0.675
0.7197265625,0.5966796875,0.0185546875,0.1767578125,0.7802734375,0.4072265625,0.5458984375,0.3994140625,0.0009765625,0.2255859375,600,0.675
0.5849609375,0.7548828125,0.6611328125,0.8837890625,0.6435546875,0.8701171875,0.2197265625,0.8447265625,0.4912109375,0.2255859375,600,0.65
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.8349609375,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.5048828125,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.4111328125,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.6833333333333333
0.9697265625,0.3466796875,0.7685546875,0.1337890625,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.8935546875,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.6666666666666666
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1201171875,0.2958984375,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.4697265625,0.1494140625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.0947265625,0.2509765625,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2412109375,0.8193359375,600,0.675
0.9697265625,0.3466796875,0.7685546875,0.9267578125,0.5302734375,0.1572265625,0.2958984375,0.1494140625,0.2509765625,0.9755859375,600,0.675
0.8349609375,0.5048828125,0.4111328125,0.1337890625,0.8935546875,0.1201171875,0.4697265625,0.0947265625,0.2412109375,0.9755859375,600,0.675
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.3349609375,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.0048828125,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.9111328125,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.65
0.4697265625,0.8466796875,0.2685546875,0.6337890625,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.3935546875,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6201171875,0.7958984375,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.9697265625,0.6494140625,0.7509765625,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.5947265625,0.7509765625,0.3193359375,600,0.6666666666666666
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7412109375,0.3193359375,600,0.6583333333333333
0.4697265625,0.8466796875,0.2685546875,0.4267578125,0.0302734375,0.6572265625,0.7958984375,0.6494140625,0.7509765625,0.4755859375,600,0.6583333333333333
0.3349609375,0.0048828125,0.9111328125,0.6337890625,0.3935546875,0.6201171875,0.9697265625,0.5947265625,0.7412109375,0.4755859375,600,0.6583333333333333
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.9599609375,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.1298828125,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.2861328125,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.1435546875,0.7587890625,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.2685546875,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7451171875,0.4208984375,0.0244140625,0.3759765625,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.8447265625,0.0244140625,0.3759765625,0.6943359375,600,0.6666666666666666
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.7197265625,0.3759765625,0.6943359375,600,0.6666666666666666
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.1162109375,0.6943359375,600,0.675
0.3447265625,0.4716796875,0.1435546875,0.3017578125,0.1552734375,0.7822265625,0.4208984375,0.0244140625,0.3759765625,0.6005859375,600,0.675
0.9599609375,0.1298828125,0.2861328125,0.7587890625,0.2685546875,0.7451171875,0.8447265625,0.7197265625,0.1162109375,0.6005859375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.4599609375,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.6298828125,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.7861328125,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.2587890625,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.7685546875,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2451171875,0.9208984375,0.5244140625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.3447265625,0.5244140625,0.8759765625,0.1943359375,600,0.6666666666666666
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.2197265625,0.8759765625,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.6162109375,0.1943359375,600,0.6583333333333333
0.8447265625,0.9716796875,0.6435546875,0.8017578125,0.6552734375,0.2822265625,0.9208984375,0.5244140625,0.8759765625,0.1005859375,600,0.6583333333333333
0.4599609375,0.6298828125,0.7861328125,0.2587890625,0.7685546875,0.2451171875,0.3447265625,0.2197265625,0.6162109375,0.1005859375,600,0.6666666666666666
0.5947265625,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
0.2099609375,0.2216796875,0.3935546875,0.0517578125,0.9052734375,0.0322265625,0.1708984375,0.7744140625,0.6259765625,0.4443359375,600,0.6666666666666666
