Input,Threshold,Accuracy
0.2,0.038000000000000006,0.23837209302325582
0.30000000000000004,0.038000000000000006,0.3953488372093023
0.4,0.038000000000000006,0.5930232558139535
0.5,0.038000000000000006,0.7732558139534884
0.6,0.038000000000000006,0.7790697674418605
0.7000000000000001,0.038000000000000006,0.7906976744186046
0.8,0.038000000000000006,0.7906976744186046
0.9,0.038000000000000006,0.7848837209302325
1.0,0.038000000000000006,0.7965116279069767
0.1,0.04,0.0
0.2,0.04,0.23255813953488372
0.30000000000000004,0.04,0.3953488372093023
0.4,0.04,0.5872093023255814
0.5,0.04,0.7674418604651163
0.6,0.04,0.7790697674418605
0.7000000000000001,0.04,0.7906976744186046
0.8,0.04,0.7906976744186046
0.9,0.04,0.7790697674418605
1.0,0.04,0.7848837209302325
0.1,0.042,0.0
0.2,0.042,0.23255813953488372
0.30000000000000004,0.042,0.3953488372093023
0.4,0.042,0.5872093023255814
0.5,0.042,0.7558139534883721
0.6,0.042,0.7674418604651163
0.7000000000000001,0.042,0.7906976744186046
0.8,0.042,0.7790697674418605
0.9,0.042,0.7790697674418605
1.0,0.042,0.7848837209302325
0.1,0.044000000000000004,0.0
0.2,0.044000000000000004,0.23255813953488372
0.30000000000000004,0.044000000000000004,0.3953488372093023
0.4,0.044000000000000004,0.5872093023255814
0.5,0.044000000000000004,0.7558139534883721
0.6,0.044000000000000004,0.7616279069767442
0.7000000000000001,0.044000000000000004,0.7848837209302325
0.8,0.044000000000000004,0.7790697674418605
0.9,0.044000000000000004,0.7790697674418605
1.0,0.044000000000000004,0.7848837209302325
0.1,0.046,0.0
0.2,0.046,0.23255813953488372
0.30000000000000004,0.046,0.3953488372093023
0.4,0.046,0.5813953488372093
0.5,0.046,0.7558139534883721
0.6,0.046,0.7558139534883721
0.7000000000000001,0.046,0.7790697674418605
0.8,0.046,0.7790697674418605
0.9,0.046,0.7790697674418605
1.0,0.046,0.7790697674418605
0.1,0.048,0.0
0.2,0.048,0.23255813953488372
0.30000000000000004,0.048,0.38953488372093026
0.4,0.048,0.5813953488372093
0.5,0.048,0.75
0.6,0.048,0.7616279069767442
0.7000000000000001,0.048,0.7790697674418605
0.8,0.048,0.7790697674418605
0.9,0.048,0.7732558139534884
1.0,0.048,0.7790697674418605
0.1,0.05,0.0
0.2,0.05,0.23255813953488372
0.30000000000000004,0.05,0.38953488372093026
0.4,0.05,0.5813953488372093
0.5,0.05,0.7267441860465116
